Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	AverageTestEpC0	StdTestEpC0	MaxTestEpC0	MinTestEpC0	AverageTestEpC1	StdTestEpC1	MaxTestEpC1	MinTestEpC1	TestEpLen
46	8.559427332041398	2.493449553855689	12.403983199223875	6.057758520264178	98.22772277227723	3.8461888	1.9187057	6.9086566	-1.4133421	470000	-0.18738252	0.26659867	-0.030123144	-0.0254433	-39.69875	-0.0288526	570.7318379878998	24.92111247424036	0.5120119278878033	25.433124402128165	24.40910054635256	-0.12945882530882968	0.0006970140151679738	-0.1287618112936617	-0.13015583932399766	138.0
47	10.09523200329543	2.43902364077825	13.32607112592086	5.892561783622951	114.93103448275862	4.0625944	1.94033	7.165442	-1.1164559	480000	0.7544676	0.31619525	-0.041184783	-0.09288265	-40.44036	0.0026681197	582.7989704608917	12.136201359983533	0.8251902056671696	12.961391565650702	11.311011154316363	-0.15142126450315113	0.014871868360787632	-0.1365493961423635	-0.16629313286393876	76.0
48	8.847767496907066	2.675785000925614	13.002902650833127	5.577486696150152	102.36082474226804	4.1465216	2.08045	11.270779	-1.2483017	490000	-0.6610809	0.5483203	-0.03383726	-0.18537965	-39.889793	-0.0013692597	594.4197669029236	20.377728529702868	3.2456555187888405	23.623384048491708	17.132073010914027	-0.12848854556679729	0.008198368623852759	-0.12029017694294453	-0.13668691419065004	109.5
49	9.046897456278893	2.567116909616586	13.133566144425426	5.487974425256254	103.13541666666667	3.9720945	1.9831163	7.017836	-1.4553511	500000	0.08706745	0.32673517	0.0073608533	-0.054113835	-39.86118	0.028277334	606.3482575416565	23.388874626737078	0.5823204800672848	23.971195106804362	22.806554146669793	-0.13205828811973325	0.005546902753412908	-0.12651138536632034	-0.13760519087314615	131.5
50	10.69758746374982	1.9739184419820752	13.473956887498499	5.3844939242862155	119.96385542168674	4.281112	1.9860446	6.7576237	-1.5313629	510000	0.92023593	0.27331474	-0.0028218627	-0.09318282	-40.502857	-0.024771247	618.6194264888763	22.546231530196962	0.9347760156914564	23.48100754588842	21.611455514505508	-0.13346165588125586	0.002508303578942994	-0.13095335230231286	-0.13596995946019885	122.5
51	10.913612372863854	1.4359086203829539	12.054472898002718	6.874518620185553	121.13414634146342	4.4262686	2.0864685	6.9000015	-1.1908507	520000	0.06054043	0.10533897	0.011276461	-0.022297643	-40.637188	-0.0032836448	630.7487392425537	22.356779611371458	0.01571696039288817	22.372496571764348	22.34106265097857	-0.13389767641201622	7.018763572008702e-06	-0.1338906576484442	-0.13390469517558823	126.5
52	11.095424488781733	0.5949041837262429	12.267500581871717	7.11943706313148	122.1604938271605	4.5103126	2.1152477	7.205197	-1.3194358	530000	0.87299275	0.054481555	0.011492193	-0.018612433	-40.697136	0.012732504	642.5428364276886	22.931778894420706	0.7130115676112503	23.644790462031956	22.218767326809456	-0.13745686190202827	0.0029394151456654805	-0.1345174467563628	-0.14039627704769375	129.0
53	11.414931124623791	1.0769797457451276	13.511639135684817	5.544691321402788	129.1818181818182	4.44604	2.0734081	6.995731	-1.1608646	540000	0.103819095	0.105359316	-0.02546309	-0.023182996	-40.82924	0.021635473	654.2175242900848	15.700732903145251	6.7600853854045235	22.460818288549774	8.940647517740727	-0.14581113133579499	0.022503784708678698	-0.12330734662711629	-0.16831491604447368	99.0
54	9.079593323276013	3.197312637877377	12.374796560592944	4.314103563129905	108.21739130434783	4.2758107	2.2250285	7.4818063	-1.9351135	550000	-1.0162945	0.89867014	-0.043643475	-0.38959086	-40.228455	-0.0072584283	666.231828212738	16.49199610162526	5.995560051687061	22.487556153312322	10.4964360499382	-0.15307891713455318	0.01760527556762087	-0.1354736415669323	-0.17068419270217405	101.0
55	10.046329884201635	2.5723258465970478	12.873374544084077	4.314803074039519	115.73255813953489	4.1124134	1.9950747	6.678056	-1.6236465	560000	0.4451415	0.38428432	-0.005536407	-0.052599996	-40.441883	0.012258968	678.7528994083405	22.224266685992482	0.9992450623959339	23.223511748388415	21.225021623596547	-0.1309723828174173	0.002486492712050592	-0.1284858901053667	-0.1334588755294679	123.5
56	11.001234019627725	1.1444962592152064	12.4802163897641	5.8291436455026275	122.85185185185185	4.337166	2.0082614	6.62661	-1.1747597	570000	1.1944896	0.13497886	-0.02503705	-0.05274579	-40.71163	-0.020174319	691.7505197525024	23.75628388553858	0.15770399160683546	23.913987877145416	23.598579893931745	-0.13739205662161125	0.013113857954740515	-0.12427819866687073	-0.15050591457635176	131.0
57	11.006013044880003	1.6329584551245435	12.350248952023689	4.786265336666255	124.1875	4.3971405	2.0818343	6.72905	-1.1416067	580000	-0.2427177	0.14202844	0.015115261	-0.010063618	-40.678318	0.015761254	703.4181625843048	22.48616577338427	0.4406347222253686	22.926800495609637	22.0455310511589	-0.14468245245516287	0.0012187967449426296	-0.14346365571022024	-0.1459012492001055	122.0
58	10.30317873415537	2.406952134662461	11.86342232225463	4.801075356267391	118.02380952380952	4.344812	2.1287065	6.6670794	-1.2068053	590000	-0.403051	0.30328315	0.003102541	-0.023273826	-40.575073	-0.000517279	714.9808795452118	16.57433763895184	6.286600103192031	22.860937742143868	10.287737535759806	-0.15427229098975676	0.013185452595353142	-0.1410868383944036	-0.1674577435851099	102.0
59	9.703856326404575	2.904996431395369	12.277277305778114	4.476632297802716	114.13793103448276	4.178722	2.072273	6.65553	-1.1028776	600000	-0.50371045	0.44778395	0.0008357167	-0.02859205	-40.242245	0.009310669	727.0643606185913	16.446533777862783	7.190523019284007	23.63705679714679	9.256010758578777	-0.15263880494982002	0.014288325980305883	-0.13835047896951413	-0.1669271309301259	102.0
60	10.013084945850402	2.8031831765370234	12.4066239605844	4.49632278546691	117.18823529411765	4.171166	2.0058684	6.6291585	-1.1261204	610000	0.15639444	0.3809709	-0.010955259	-0.008227855	-40.424683	0.01120863	739.3515031337738	16.994702609702948	7.592224002555016	24.58692661225796	9.40247860714793	-0.15807340886443838	0.010545852780342091	-0.1475275560840963	-0.16861926164478047	104.0
61	9.853594726229	2.9174606635180806	12.56248343668878	4.511368339266627	115.53488372093024	4.1725245	2.043218	6.621317	-1.351301	620000	-0.15000498	0.43469086	-0.021401659	-0.0057685375	-40.33943	0.012333038	751.520830154419	22.43818944562227	0.23945677231997387	22.677646217942247	22.1987326733023	-0.14378816613927486	0.0024526501633228004	-0.14133551597595206	-0.14624081630259766	128.5
62	9.052637702151415	3.2711650115510613	12.333872202672065	4.520612338613718	108.9010989010989	4.042785	2.0652254	6.6284647	-1.1502008	630000	-0.36740565	0.56796765	0.0037525296	-0.028240502	-40.076374	0.012592075	763.6639947891235	22.402476897090672	0.015951207429168335	22.41842810451984	22.386525689661504	-0.14188330324366694	0.001632033158093682	-0.14025127008557325	-0.14351533640176062	126.0
63	9.919989918239851	2.905622700474604	12.548384301532055	4.540677842460575	116.23529411764706	4.077441	1.9889028	6.6253867	-1.0569174	640000	0.37336805	0.43278873	0.014454842	-0.032414913	-40.367027	0.0206886	776.1837711334229	22.331533325109632	0.23785258932039	22.569385914430022	22.093680735789242	-0.13696415765210973	0.0011371048726141475	-0.13582705277949558	-0.13810126252472388	128.0
64	9.713573699561216	2.961326753022139	12.261944475676868	4.529594552833587	114.29885057471265	4.1595325	2.0412767	6.637015	-1.163974	650000	-0.13545185	0.42408925	0.038354926	-0.0037561357	-40.31673	-0.010436952	788.247552394867	9.748452189229427	0.506300509683788	10.254752698913215	9.242151679545639	-0.1683074759319424	0.00021481648087517957	-0.16809265945106722	-0.16852229241281758	73.0
65	9.859551665244604	2.902353163131522	12.331696279831235	4.540706902369857	114.97674418604652	4.1591945	2.023058	7.073256	-0.99083334	660000	-0.0087587405	0.40685955	0.0028242678	-0.0036508143	-40.38954	-0.0061516785	801.599889755249	9.924669428169727	0.27868741683662	10.203356845006347	9.645982011333107	-0.1685046496987343	0.0003004958480597453	-0.16820415385067455	-0.16880514554679404	73.0
66	10.22644992973234	2.496499434338087	12.524932349994776	4.554353318475187	117.89285714285714	4.2573004	2.0466022	7.0471787	-1.1168251	670000	0.3823312	0.3123643	0.031188399	-0.013091177	-40.449295	-0.019684406	813.4721963405609	15.631817163936795	6.176430455334486	21.80824761927128	9.455386708602308	-0.15544444158673282	0.013921045288443568	-0.14152339629828925	-0.16936548687517639	97.5
